"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,207,"SVK","Slovakia",1,"Žilinský",1,"Žilina","Okres","District",NA,NA
2,207,"SVK","Slovakia",1,"Žilinský",2,"Bytca","Okres","District",NA,NA
3,207,"SVK","Slovakia",1,"Žilinský",3,"Cadca","Okres","District",NA,NA
4,207,"SVK","Slovakia",1,"Žilinský",4,"Dolný Kubín","Okres","District",NA,NA
5,207,"SVK","Slovakia",1,"Žilinský",5,"Kysucké Nové Mesto","Okres","District",NA,NA
6,207,"SVK","Slovakia",1,"Žilinský",6,"Liptovský Mikuláš","Okres","District",NA,NA
7,207,"SVK","Slovakia",1,"Žilinský",7,"Martin","Okres","District",NA,NA
8,207,"SVK","Slovakia",1,"Žilinský",8,"Námestovo","Okres","District",NA,NA
9,207,"SVK","Slovakia",1,"Žilinský",9,"Ružomberok","Okres","District",NA,NA
10,207,"SVK","Slovakia",1,"Žilinský",10,"Turcianske Teplice","Okres","District",NA,NA
11,207,"SVK","Slovakia",1,"Žilinský",11,"Tvrdošín","Okres","District",NA,NA
12,207,"SVK","Slovakia",2,"Banskobystrický",12,"Žarnovica","Okres","District",NA,NA
13,207,"SVK","Slovakia",2,"Banskobystrický",13,"Žiar nad Hronom","Okres","District",NA,NA
14,207,"SVK","Slovakia",2,"Banskobystrický",14,"Banská Štiavnica","Okres","District",NA,NA
15,207,"SVK","Slovakia",2,"Banskobystrický",15,"Banská Bystrica","Okres","District",NA,NA
16,207,"SVK","Slovakia",2,"Banskobystrický",16,"Brezno","Okres","District",NA,NA
17,207,"SVK","Slovakia",2,"Banskobystrický",17,"Detva","Okres","District",NA,NA
18,207,"SVK","Slovakia",2,"Banskobystrický",18,"Krupina","Okres","District",NA,NA
19,207,"SVK","Slovakia",2,"Banskobystrický",19,"Lucenec","Okres","District",NA,NA
20,207,"SVK","Slovakia",2,"Banskobystrický",20,"Poltár","Okres","District",NA,NA
21,207,"SVK","Slovakia",2,"Banskobystrický",21,"Revúca","Okres","District",NA,NA
22,207,"SVK","Slovakia",2,"Banskobystrický",22,"Rimavská Sobota","Okres","District",NA,NA
23,207,"SVK","Slovakia",2,"Banskobystrický",23,"Velký Krtíš","Okres","District",NA,NA
24,207,"SVK","Slovakia",2,"Banskobystrický",24,"Zvolen","Okres","District",NA,NA
25,207,"SVK","Slovakia",3,"Bratislavský",25,"Bratislava III","Okres","District",NA,NA
26,207,"SVK","Slovakia",3,"Bratislavský",26,"Bratislava II","Okres","District",NA,NA
27,207,"SVK","Slovakia",3,"Bratislavský",27,"Bratislava I","Okres","District",NA,NA
28,207,"SVK","Slovakia",3,"Bratislavský",28,"Bratislava IV","Okres","District",NA,NA
29,207,"SVK","Slovakia",3,"Bratislavský",29,"Bratislava V","Okres","District",NA,NA
30,207,"SVK","Slovakia",3,"Bratislavský",30,"Malacky","Okres","District",NA,NA
31,207,"SVK","Slovakia",3,"Bratislavský",31,"Pezinok","Okres","District",NA,NA
32,207,"SVK","Slovakia",3,"Bratislavský",32,"Senec","Okres","District",NA,NA
33,207,"SVK","Slovakia",4,"Košický",33,"Gelnica","Okres","District",NA,NA
34,207,"SVK","Slovakia",4,"Košický",34,"Košice-okolie","Okres","District",NA,NA
35,207,"SVK","Slovakia",4,"Košický",35,"Košice III","Okres","District",NA,NA
36,207,"SVK","Slovakia",4,"Košický",36,"Košice II","Okres","District",NA,NA
